id,t_subida_s,t_bajada_s,lineas_escala,U_volts,distancia_m,v_bajada_m_s,v_subida_m_s
1,8.63,14.29,1,512,0.0005,3.499E-05,5.7937E-05
2,6.63,18.3,1,532,0.0005,2.7322E-05,7.5415E-05
3,5.85,9.4,1,532,0.0005,5.3191E-05,8.547E-05
4,7.34,17.29,1,533,0.0005,2.8918E-05,6.812E-05
5,10.16,10.6,1,533,0.0005,4.717E-05,4.9213E-05
6,3.45,8.85,1,533,0.0005,5.6497E-05,0.00014493
7,2.37,13.5,1,532,0.0005,3.7037E-05,0.00021097
8,3.49,21.38,1,531,0.0005,2.3386E-05,0.00014327
9,3.35,8.18,1,533,0.0005,6.1125E-05,0.00014925
10,3.49,21.38,1,532,0.0005,2.3386E-05,0.00014327
11,6.63,14.68,1,532,0.0005,3.406E-05,7.5415E-05
12,9.06,13.7,1,531,0.0005,3.6496E-05,5.5188E-05
13,2.02,9.44,1,532,0.0005,5.2966E-05,0.00024752
14,3.9,11.97,1,529,0.0005,4.1771E-05,0.00012821
15,14.09,11.67,1,529,0.0005,4.2845E-05,3.5486E-05
16,10.16,14,1,485,0.0005,3.5714E-05,4.9213E-05
17,4.56,3.71,1,485,0.0005,0.00013477,0.00010965
18,11.47,13.53,1,483,0.0005,3.6955E-05,4.3592E-05
19,4.94,19.29,1,530,0.0005,2.592E-05,0.00010121
20,4.84,22.04,1,530,0.0005,2.2686E-05,0.00010331
21,4.5,24.56,1,529,0.0005,2.0358E-05,0.00011111
22,2.09,21.74,1,529,0.0005,2.2999E-05,0.00023923
23,4.4,18.71,1,531,0.0005,2.6724E-05,0.00011364
24,7.84,15.55,1,530,0.0005,3.2154E-05,6.3776E-05
25,8.34,15.59,1,531,0.0005,3.2072E-05,5.9952E-05
26,4.25,24.86,1,577,0.0005,2.0113E-05,0.00011765
27,13.5,25.54,1,279,0.0005,1.9577E-05,3.7037E-05
28,10.55,16.91,1,464,0.0005,2.9568E-05,4.7393E-05
29,6.62,19.61,1,467,0.0005,2.5497E-05,7.5529E-05
30,9.92,14.26,1,468,0.0005,3.5063E-05,5.0403E-05
31,9.83,5.58,1,467,0.0005,8.9606E-05,5.0865E-05
32,9.21,16.87,1,464,0.0005,2.9638E-05,5.4289E-05
33,14.07,8.45,1,344,0.0005,5.9172E-05,3.5537E-05
34,10.17,7.82,1,343,0.0005,6.3939E-05,4.9164E-05
35,5.25,18.53,1,345,0.0005,2.6983E-05,9.5238E-05
36,9.35,18.98,1,346,0.0005,2.6344E-05,5.3476E-05
37,10.46,17.11,1,344,0.0005,2.9223E-05,4.7801E-05
38,8.13,21.72,1,346,0.0005,2.302E-05,6.1501E-05
39,3.41,12.71,1,345,0.0005,3.9339E-05,0.00014663
40,4.86,15.9,1,345,0.0005,3.1447E-05,0.00010288
41,5.12,6.89,1,345,0.0005,7.2569E-05,9.7656E-05
42,8.89,11.43,1,345,0.0005,4.3745E-05,5.6243E-05
43,11.26,9.21,1,403,0.0005,5.4289E-05,4.4405E-05
44,9.63,18.89,1,405,0.0005,2.6469E-05,5.1921E-05
45,10.62,18.22,1,404,0.0005,2.7442E-05,4.7081E-05
46,10.82,15.61,1,405,0.0005,3.2031E-05,4.6211E-05
47,7.02,22.23,1,404,0.0005,2.2492E-05,7.1225E-05
48,6.02,11.73,1,403,0.0005,4.2626E-05,8.3056E-05
49,2.62,6.51,1,404,0.0005,7.6805E-05,0.00019084
50,13.37,30.83,1,404,0.0005,1.6218E-05,3.7397E-05
51,17.69,11.46,1,402,0.0005,4.363E-05,2.8265E-05
52,21.93,10.26,1,403,0.0005,4.8733E-05,2.28E-05
53,20.64,4.6,1,434,0.0005,0.0001087,2.4225E-05
